date,AAPL,MSFT,GOOGL,AMZN,JPM,SPY
2024-06-17,216.67,448.37,177.24,184.06,194.98,547.1
2024-06-18,214.29,446.34,175.09,182.81,197.0,548.49
2024-06-20,209.68,445.7,176.3,186.1,198.67,547.0
2024-06-21,207.49,449.78,179.63,189.08,196.3,544.51
2024-06-24,208.14,447.67,179.22,185.57,198.88,542.74
2024-06-25,209.07,450.95,184.03,186.34,198.07,544.83
2024-06-26,213.25,452.16,183.88,193.61,197.43,545.51
2024-06-27,214.1,452.85,185.41,197.85,199.17,546.37
2024-06-28,210.62,446.95,182.15,193.25,202.26,544.22
2024-07-01,216.75,456.73,182.99,197.2,205.45,545.34
2024-07-02,220.27,459.28,185.24,200.0,208.83,549.01
2024-07-03,221.55,460.77,185.82,197.59,208.69,551.46
2024-07-05,226.34,467.56,190.6,200.0,204.79,554.64
2024-07-08,227.82,466.24,189.03,199.29,205.17,555.28
2024-07-09,228.68,459.54,188.98,199.34,207.63,555.82
2024-07-10,232.98,466.25,191.18,199.79,207.8,561.32
2024-07-11,227.57,454.7,185.57,195.05,207.45,556.48
2024-07-12,230.54,453.55,185.07,194.49,204.94,559.99
2024-07-15,234.4,453.96,186.53,192.72,210.05,561.53
2024-07-16,234.82,449.52,183.92,193.02,213.62,564.86
2024-07-17,228.88,443.52,181.02,187.93,216.87,556.94
2024-07-18,224.18,440.37,177.69,183.75,209.98,552.66
2024-07-19,224.31,437.11,177.66,183.13,209.78,548.99
2024-07-22,223.96,442.94,181.67,182.55,210.28,554.65
2024-07-23,225.01,444.85,181.79,186.41,210.33,553.78
2024-07-24,218.54,428.9,172.63,180.83,208.59,541.23
2024-07-25,217.49,418.4,167.28,179.85,208.67,538.41
2024-07-26,217.96,425.27,167.0,182.5,212.24,544.44
2024-07-29,218.24,426.73,169.53,183.2,210.85,544.76
2024-07-30,218.8,422.92,170.29,181.71,215.19,542.0
2024-07-31,222.08,418.35,171.54,186.98,212.8,550.81
2024-08-01,218.36,417.11,170.76,184.07,207.96,543.01
2024-08-02,219.86,408.49,166.66,167.9,199.14,532.9
2024-08-05,209.27,395.15,159.25,161.02,194.9,517.38
2024-08-06,207.23,399.61,158.29,161.93,200.34,522.15
2024-08-07,209.82,398.43,158.94,162.77,200.4,518.66
2024-08-08,213.31,402.69,162.03,165.8,204.06,530.65
2024-08-09,216.24,406.02,163.67,166.94,205.8,532.99
2024-08-12,217.53,406.81,162.29,166.8,206.19,533.27
2024-08-13,221.27,414.01,164.16,170.23,207.94,542.04
2024-08-14,221.72,416.86,160.37,170.1,210.24,543.75
2024-08-15,224.72,421.03,161.3,177.59,211.55,553.07
2024-08-16,226.05,418.47,162.96,177.06,213.97,554.31
2024-08-19,225.89,421.53,166.67,178.22,215.45,559.61
2024-08-20,226.51,424.8,167.18,178.88,214.52,558.7
2024-08-21,226.4,424.14,165.85,180.11,214.6,560.62
2024-08-22,224.53,415.55,163.8,176.13,216.63,556.22
2024-08-23,226.84,416.79,165.62,177.04,218.31,562.13
2024-08-26,227.18,413.49,166.16,175.5,219.17,560.79
2024-08-27,228.03,413.84,164.68,173.12,220.18,561.56
2024-08-28,226.49,410.6,162.85,170.8,221.29,558.3
2024-08-29,229.79,413.12,161.78,172.12,222.21,558.35
2024-08-30,229.0,417.14,163.38,178.5,224.8,563.68
2024-09-03,222.77,409.44,157.36,176.25,220.3,552.08
2024-09-04,220.85,408.9,156.45,173.33,219.33,550.95
2024-09-05,222.38,408.39,157.24,177.89,217.63,549.61
2024-09-06,220.82,401.7,150.92,171.39,212.46,540.36
2024-09-09,220.91,405.72,148.71,175.4,216.81,546.41
2024-09-10,220.11,414.2,148.66,179.55,205.56,548.79
2024-09-11,222.66,423.04,151.16,184.52,207.23,554.42
2024-09-12,222.77,427.0,154.69,187.0,206.6,559.09
2024-09-13,222.5,430.59,157.46,186.49,204.32,562.01
2024-09-16,216.32,431.34,158.06,184.89,207.86,562.84
2024-09-17,216.79,435.15,159.32,186.88,209.25,563.07
2024-09-18,220.69,430.81,159.81,186.43,207.53,561.4
2024-09-19,228.87,438.69,162.14,189.87,210.48,570.98
2024-09-20,228.2,435.27,163.59,191.6,211.09,568.25
2024-09-23,226.47,433.51,161.85,193.88,211.44,569.67
2024-09-24,227.37,429.17,162.29,193.96,211.59,571.3
2024-09-25,226.37,432.11,161.49,192.53,210.19,570.04
2024-09-26,227.52,431.31,162.73,191.16,209.78,572.3
2024-09-27,227.79,428.02,163.95,187.97,210.5,571.47
2024-09-30,233.0,430.3,165.85,186.33,210.86,573.76
2024-10-01,226.21,420.69,166.99,185.13,207.04,568.62
2024-10-02,226.78,417.13,165.86,184.76,207.29,568.86
2024-10-03,225.67,416.54,165.86,181.96,205.23,567.82
2024-10-04,226.8,416.06,167.06,186.51,211.22,572.98
2024-10-07,221.69,409.54,162.98,180.8,210.93,567.8
2024-10-08,225.77,414.71,164.38,182.72,210.75,573.17
2024-10-09,229.54,417.46,161.86,185.17,213.42,577.14
2024-10-10,229.04,415.84,162.08,186.65,212.84,576.13
2024-10-11,227.55,416.32,163.24,188.82,222.29,579.58
2024-10-14,231.3,419.14,164.96,187.54,221.48,584.32
2024-10-15,233.85,418.74,165.46,187.69,222.39,579.78
2024-10-16,231.78,416.12,165.16,186.89,223.64,582.3
2024-10-17,232.15,416.72,162.93,187.53,224.42,582.35
2024-10-18,235.0,418.16,163.42,188.99,225.37,584.59
2024-10-21,236.48,418.78,164.07,189.07,223.0,583.63
2024-10-22,235.86,427.51,165.14,189.7,224.12,583.32
2024-10-23,230.76,424.6,162.78,184.71,223.41,577.99
2024-10-24,230.57,424.73,162.72,186.38,224.98,579.24
2024-10-25,231.41,428.15,165.27,187.83,222.31,579.04
2024-10-28,233.4,426.59,166.72,188.39,225.5,580.83
2024-10-29,233.67,431.95,169.68,190.83,222.9,581.77
2024-10-30,230.1,432.53,174.46,192.73,224.41,580.01
2024-10-31,225.91,406.35,171.11,186.4,221.92,568.64
2024-11-01,222.91,410.37,171.29,197.93,222.94,571.04
2024-11-04,222.01,408.46,169.24,195.78,219.78,569.81
2024-11-05,223.45,411.46,169.74,199.5,221.49,576.7
2024-11-06,222.72,420.18,176.51,207.09,247.06,591.04
2024-11-07,227.48,425.43,180.75,210.05,236.38,595.61
2024-11-08,226.96,422.54,178.35,208.18,236.98,598.19
2024-11-11,224.23,418.01,180.35,206.84,239.29,598.76
2024-11-12,224.23,423.03,181.62,208.91,239.56,596.9
2024-11-13,225.12,425.2,178.88,214.1,241.16,597.19
2024-11-14,228.22,426.89,175.58,211.48,241.87,593.35
2024-11-15,225.0,415.0,172.49,202.61,245.31,585.75
2024-11-18,228.02,415.76,175.3,201.7,245.03,588.15
2024-11-19,228.28,417.79,178.12,204.61,243.09,590.3
2024-11-20,229.0,415.49,175.98,202.88,240.78,590.5
2024-11-21,228.52,412.87,167.63,198.38,244.76,593.67
2024-11-22,229.87,417.0,164.76,197.12,248.55,595.51
2024-11-25,232.87,418.79,167.65,201.45,250.29,597.53
2024-11-26,235.06,427.99,169.12,207.86,249.97,600.65
2024-11-27,234.93,422.99,169.23,205.74,249.79,598.83
2024-11-29,237.33,423.46,168.95,207.89,249.72,602.55
2024-12-02,239.59,430.98,171.49,210.71,246.25,603.63
2024-12-03,242.65,431.2,171.34,213.44,244.82,603.91
2024-12-04,243.01,437.42,174.37,218.16,243.4,607.66
2024-12-05,243.04,442.62,172.64,220.55,245.48,606.66
2024-12-06,242.84,443.57,174.71,227.03,247.36,607.81
2024-12-09,246.75,446.02,175.37,226.09,243.81,604.68
2024-12-10,247.77,443.33,185.17,225.04,242.86,602.8
2024-12-11,246.49,448.99,195.4,230.26,243.53,607.46
2024-12-12,247.96,449.56,191.96,228.97,241.53,604.33
2024-12-13,248.13,447.27,189.82,227.46,239.94,604.21
2024-12-16,251.04,451.59,196.66,232.93,239.58,606.79
2024-12-17,253.48,454.46,195.42,231.15,238.36,604.29
2024-12-18,248.05,437.39,188.4,220.52,230.37,586.28
2024-12-19,249.79,437.03,188.51,223.29,232.96,586.1
2024-12-20,254.49,436.6,191.41,224.92,237.6,591.15
2024-12-23,255.27,435.25,194.63,225.06,238.39,594.69
2024-12-24,258.2,439.33,196.11,229.05,242.31,601.3
2024-12-26,259.02,438.11,195.6,227.05,243.14,601.34
2024-12-27,255.59,430.53,192.76,223.75,241.17,595.01
2024-12-30,252.2,424.83,191.24,221.3,239.32,588.22
2024-12-31,250.42,421.5,189.3,219.39,239.71,586.08
2025-01-02,243.85,418.58,189.43,220.22,240.0,584.64
2025-01-03,243.36,423.35,191.79,224.19,243.28,591.95
2025-01-06,245.0,427.85,196.87,227.61,240.85,595.36
2025-01-07,242.21,422.37,195.49,222.11,243.17,588.63
2025-01-08,242.7,424.56,193.95,222.13,243.13,589.49
2025-01-10,236.85,418.95,192.04,218.94,239.87,580.49
2025-01-13,234.4,417.19,191.01,218.46,244.21,581.39
2025-01-14,233.28,415.67,189.66,217.76,247.47,582.19
2025-01-15,237.87,426.31,195.55,223.35,252.35,592.78
2025-01-16,228.26,424.58,192.91,220.66,254.27,591.64
2025-01-17,229.98,429.03,196.0,225.94,259.16,597.58
2025-01-21,222.64,428.5,198.05,230.71,263.03,603.05
2025-01-22,223.83,446.2,198.37,235.01,262.84,606.44
2025-01-23,223.66,446.71,197.98,235.42,265.95,609.75
2025-01-24,222.78,444.06,200.21,234.85,264.84,607.97
2025-01-27,229.86,434.56,191.81,235.42,265.85,599.37
2025-01-28,238.26,447.2,195.3,238.15,267.14,604.52
2025-01-29,239.36,442.33,195.41,237.07,266.58,601.81
2025-01-30,237.59,414.99,200.87,234.64,268.23,605.04
2025-01-31,236.0,415.06,204.02,237.68,267.3,601.82
2025-02-03,228.01,410.92,201.23,237.42,266.81,597.77
2025-02-04,232.8,412.37,206.38,242.06,267.94,601.78
2025-02-05,232.47,413.29,191.33,236.17,270.43,604.22
2025-02-06,233.22,415.82,191.6,238.83,276.9,606.32
